barrio,distrito,nombre,estado_licencia,capacidad
horcajo,moratalaz,RESTAURANTE ASIÁTICO DIAMANTE,Abierta,20.23
pueblo nuevo,ciudad lineal,RESTAURANTE 8 DE DICIEMBRE,Abierta,55.8
cortes,centro,PEZ TORTILLA,Abierta,4.68
trafalgar,chamberi,SISAPO,Abierta,22.5
valdefuentes,hortaleza,BAR LA ANTIGUA,Abierta,53.79
palacio,centro,CARL'S JR,Abierta,11.16
el goloso,fuencarral-el pardo,FOREMAN,Abierta,48.6
hispanoamerica,chamartin,ST. PATRICK'S ABBEY IRISH PUB TAVERN,Abierta,98.16
embajadores,centro,SHIBARI SUSHI AND GRILL,Abierta,22.32
trafalgar,chamberi,BAR ASTURIAS,Abierta,20.52
ibiza,retiro,SIBUYA,Abierta,23.25
aravaca,moncloa-aravaca,L ANGELINA,Abierta,39.78
buenavista,carabanchel,CERVECERIA EMPERADOR,Abierta,20.94
arguelles,moncloa-aravaca,ALBOROTO,Abierta,14.79
castellana,salamanca,RESTAURANTE 29 FANEGAS                            ,Abierta,4.04
sol,centro,TABERNA FONTAN,Abierta,7.56
vallehermoso,chamberi,LA CREPERIE,Abierta,36.3
castellana,salamanca,CAFÉ SAIGON,Abierta,34.93
numancia,puente de vallecas,BAR PUERTO DE MAR,Abierta,29.52
prosperidad,chamartin,CAFÉ AMÉRICA,Abierta,61.23
arapiles,chamberi,BAR CORRIENTES,Abierta,23.92
goya,salamanca,CAFETERIA EL TREBOL,Abierta,45.85
valverde,fuencarral-el pardo,SUMA,Abierta,9.72
opañel,carabanchel,RESTAURANTE LA MADREÑA,Abierta,98.3
guindalera,salamanca,CAFETERA JARA,Abierta,17.62
sol,centro,ALL U CAN EAT,Abierta,9.92
pinar del rey,hortaleza,FLAMINGO,Abierta,24.0
butarque,villaverde,BAR RESTAURANTE VITA KR,Abierta,23.4
san pascual,ciudad lineal,BAR,Abierta,51.81
valdebernardo,vicalvaro,LA CHURRE. CAFETERÍA CHURRERÍA,Abierta,26.0
vallehermoso,chamberi,FERRO´S BAR,Abierta,51.51
los jeronimos,retiro,PLENTI,Abierta,17.18
trafalgar,chamberi,ARAIA,Abierta,8.68
aluche,latina,EL TIMON DEL TERRAZA,Abierta,16.9
embajadores,centro,KFC,Abierta,12.6
opañel,carabanchel,BAR LA MONTAÑA,Abierta,32.34
casco h.barajas,barajas,HOSTAL CAFETERIA RESTAURANTE EL PRINCIPE,Abierta,51.66
cuatro caminos,tetuan,CAFETERÍA,Abierta,126.08
legazpi,arganzuela,ROTULO NO INFORMADO,Abierta,19.74
los jeronimos,retiro,IRAKLI,Abierta,8.26
ibiza,retiro,TUPIZZA RETIRO S.L.,Abierta,43.2
ventas,ciudad lineal,LA FORNIA,Abierta,35.1
berruguete,tetuan,RODILLA,Abierta,26.26
vallehermoso,chamberi,RESTAURANTE OLIVA,Abierta,11.68
delicias,arganzuela,ESSENZA,Abierta,19.74
aluche,latina,BAR CAFETERÍA  AVENIDA,Abierta,31.8
simancas,san blas-canillejas,CERVECERIA EL TERMINO,Abierta,35.28
lista,salamanca,RESTAURANTE INDIAN CUISINE TANDOORI STATION,Abierta,39.23
castellana,salamanca,GINOS,Abierta,22.41
universidad,centro,LA PESCADERIA,Abierta,21.28
el pilar,fuencarral-el pardo,BAR,Abierta,6.8
