barrio,distrito,nombre,estado_licencia,capacidad
valverde,fuencarral-el pardo,GOIKO GRILL,Abierta,40.74
castilla,chamartin,SANTA GLORIA,Abierta,53.07
campamento,latina,BEVERLY BEER /L110,Abierta,12.96
casco h.barajas,barajas,LA VIÑA DE NEREA,Abierta,65.8
palos de la frontera,arganzuela,BODEGAS ROSELL,Abierta,18.72
castellana,salamanca,FLORES DE ALCACHOFA,Abierta,104.28
cuatro caminos,tetuan,SECRETS,Abierta,119.18
cuatro caminos,tetuan,LATERAL,Abierta,143.53
castilla,chamartin,EL DOKE,Abierta,14.58
costillares,ciudad lineal,LA PARRILLA DEL PINAR,Abierta,66.87
santa eugenia,villa de vallecas,CAFETERIA SIMON,Abierta,19.44
ibiza,retiro,BAR ANTONIO RESTAURANTE,Abierta,1.5
almagro,chamberi,DONDE MIGUEL,Abierta,16.72
justicia,centro,HOTEL ROOM MATE OSCAR,Abierta,55.44
portazgo,puente de vallecas,CAFETERIA NERUDA,Abierta,10.8
valdebernardo,vicalvaro,BAR FOGONES ABUELA PILAR,Abierta,44.46
palomas,hortaleza,TINGLAO,Abierta,95.83
pueblo nuevo,ciudad lineal,CAFETERIA,Abierta,7.04
prosperidad,chamartin,OTTICA,Abierta,99.43
casco h.vicalvaro,vicalvaro,BAR LA PERLA,Abierta,45.0
castillejos,tetuan,Ó´PULPEIRO,Abierta,23.04
delicias,arganzuela,PIZZERÍA CARLOS,Abierta,16.66
pueblo nuevo,ciudad lineal,BAR CORREOS,Abierta,25.92
orcasitas,usera,MAX AND HENRY,Abierta,19.07
recoletos,salamanca,CAFE Y TE,Abierta,28.45
valverde,fuencarral-el pardo,LA BRUSCHETTA,Abierta,19.44
buenavista,carabanchel,"LOS ARCOS COFFE, FOOD & BEER",Abierta,34.99
valdebernardo,vicalvaro,BAR TRASGU,Abierta,78.9
san fermin,usera,LA GASTROTECA DE PELAEZ,Abierta,20.79
san isidro,carabanchel,BAR MONICA,Abierta,53.1
goya,salamanca,VOLAPIE,Abierta,32.44
valverde,fuencarral-el pardo,ÑA,Abierta,29.78
trafalgar,chamberi,LAURICA,Abierta,48.41
almagro,chamberi,CHIDO,Abierta,22.91
los jeronimos,retiro,THE SPANISH FARM,Abierta,35.53
arcos,san blas-canillejas,CERVEZAS UCEDA,Abierta,26.53
guindalera,salamanca,BAR SIDNEY,Abierta,19.08
vallehermoso,chamberi,LA ESQUINA DEL 98,Abierta,8.7
ciudad jardin,chamartin,LOS TORREZNOS TAKE AWAY,Abierta,47.65
almagro,chamberi,BAR RESTAURANTE,Abierta,21.6
cortes,centro,LATERAL,Abierta,38.9
quintana,ciudad lineal,EL CASTILLO BAR CERVECERIA,Abierta,2.88
recoletos,salamanca,LA COLONIAL  DE GOYA,Abierta,4.86
piovera,hortaleza,KIALMA,Abierta,29.65
palos de la frontera,arganzuela,POR DETERMINAR,Abierta,10.71
ibiza,retiro,FRUTAS PARRA VERDURAS,Abierta,51.67
ibiza,retiro,CASA DE FIERAS,Abierta,11.7
quintana,ciudad lineal,BAR DAYVI,Abierta,59.94
vista alegre,carabanchel,CORNER,Abierta,22.32
quintana,ciudad lineal,MONCAYO,Abierta,4.32
simancas,san blas-canillejas,LA ESQUINITA,Abierta,18.04
puerta bonita,carabanchel,CAFETERIA JOYCA,Abierta,33.84
pueblo nuevo,ciudad lineal,LA LUNA DE ESTAMBUL,Abierta,4.68
legazpi,arganzuela,LOS METALES,Abierta,34.59
trafalgar,chamberi,LA FRESQUERA DE CHAMBERI,Abierta,33.67
ibiza,retiro,LA RAQUETISTA,Abierta,9.15
embajadores,centro,AFRICA FUSIÓN,Abierta,1.44
mirasierra,fuencarral-el pardo,PIROPO GASTROBAR,Abierta,35.64
pueblo nuevo,ciudad lineal,BAR NARANJO,Abierta,13.92
almendrales,usera,MONTEFERRO,Abierta,65.55
trafalgar,chamberi,PABLUS MADRID,Abierta,17.68
lucero,latina,ASADOR EL PINAR CAFETERIA,Abierta,16.8
adelfas,retiro,GALAXI KEBAB,Abierta,28.1
palomeras bajas,puente de vallecas,CAFETERIA CERVECERIA JARRA-KAS,Abierta,28.6
pinar del rey,hortaleza,LA CANCION DEL PIRATA,Abierta,32.4
los rosales,villaverde,BAR DONDE SIEMPRE,Abierta,64.12
alameda de osuna,barajas,PUB MOTOCINE,Abierta,19.44
palomeras sureste,puente de vallecas,VIVARI,Abierta,16.2
guindalera,salamanca,RESTAURANTE CHINO LI MING,Abierta,9.36
gaztambide,chamberi,DEHESA DE SOLANA,Abierta,34.39
vista alegre,carabanchel,LA TABERNA DE DOMINGUEZ,Abierta,25.92
fuente del berro,salamanca,EL RINCON DE LUNA,Abierta,24.17
ensanche de vallecas,villa de vallecas,PASTELERIA JARANDA,Abierta,49.5
sol,centro,BAR OVNI,Abierta,16.2
