barrio,precio,numero_habitaciones,reseñas,servicios
opañel,75.0,3.0,30,"Bidet,First aid kit,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Gas stove,Microwave,Hangers,Extra pillows and blankets,Portable fans,Portable heater,Shower gel,TV,Washer,Fire extinguisher,Shampoo,Long term stays allowed,Bathtub,Hair dryer,Bed linens,Fast wifi  83 Mbps,Coffee maker,Free street parking,Drying rack for clothing,Cleaning products,Pack n play/Travel crib - always at the listing,Oven,Childrens dinnerware,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
universidad,76.0,0.0,253,"Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Hangers,Heating,Toaster,Hot water kettle,Lockbox,TV,Washer,Elevator,Noise decibel monitors on property,Shampoo,Fast wifi  305 Mbps,Wine glasses,Body soap,Bathtub,Hair dryer,Bed linens,Freezer,Coffee maker,Dryer,Drying rack for clothing,Dishes and silverware,Cleaning products,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
embajadores,119.0,1.0,157,"City skyline view,Wifi,Central air conditioning,Kitchen,Essentials,Smart lock,Iron,Microwave,Electric stove,Hangers,Dining table,Free washer  In unit,Heating,Shower gel,Hot water kettle,Private patio or balcony,TV,Fire extinguisher,Long term stays allowed,Body soap,Hair dryer,Bed linens,Private backyard,Freezer,Coffee maker,Drying rack for clothing,Self check-in,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
almagro,140.0,2.0,3,"Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Washer  In unit,Heating,Lockbox,TV,Elevator,High chair,Shampoo,Long term stays allowed,Bathtub,Hair dryer,Dryer  In unit,Bed linens,Pets allowed,Dishwasher,Private entrance,Oven,Self check-in,Cooking basics,Refrigerator,Air conditioning,Crib"
rosas,35.0,1.0,85,"Bidet,Books and reading material,First aid kit,Wifi,Kitchen,Essentials,Stove,Hot water,Iron,32 inch TV with standard cable,Microwave,Hangers,Extra pillows and blankets,Heating,Shower gel,Elevator,Lock on bedroom door,Shampoo,Body soap,Hair dryer,Bed linens,Coffee maker,Free street parking,Dishes and silverware,Clothing storage: closet and dresser,Cleaning products,Oven,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
embajadores,118.0,1.0,111,"City skyline view,SMEG stainless steel oven,Wifi,Central air conditioning,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Paid street parking off premises,Microwave,Hangers,Extra pillows and blankets,Dining table,Free washer  In unit,Toaster,Shower gel,Central heating,Fire extinguisher,SMEG electric stove,Long term stays allowed,Body soap,Bathtub,Hair dryer,Bed linens,Coffee,Coffee maker,Dishwasher,Cleaning products,Free dryer  In unit,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Single level home"
palacio,84.0,0.0,219,"32 inch HDTV,City skyline view,Wifi,Central air conditioning,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Paid parking off premises,Hangers,Dining table,Free washer  In unit,Heating,Toaster,Shower gel,Hot water kettle,Private patio or balcony,Elevator,Shampoo,Wine glasses,Stainless steel electric stove,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Host greets you,Freezer,Coffee maker,Blender,Drying rack for clothing,Cleaning products,Oven,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Outdoor furniture"
quintana,55.0,1.0,62,"Clothing storage: closet,Kitchenette,Coffee maker: french press,Essentials,Fast wifi  324 Mbps,Shared patio or balcony,32 inch TV with Netflix, Fire TV,Hot water,Luggage dropoff allowed,Paid street parking off premises,Microwave,Hangers,Portable fans,Dining table,Shower gel,Central heating,Wine glasses,Hair dryer,Bed linens,Freezer,Laundromat nearby,Free street parking,Dishwasher,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Single level home"
palacio,118.0,0.0,245,"Wifi,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Hot water,Iron,Paid parking off premises,Microwave,Hangers,Extra pillows and blankets,Dining table,Free washer  In unit,Heating,Toaster,Shower gel,Hot water kettle,Carbon monoxide alarm,Courtyard view,Elevator,HDTV,Shampoo,Smoke alarm,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Host greets you,Coffee maker,Drying rack for clothing,Cleaning products,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Single level home"
trafalgar,112.0,1.0,14,"Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Heating,Toaster,Hot water kettle,TV,Washer,Elevator,High chair,Shampoo,Hair dryer,Air conditioning,Freezer,Coffee maker,Dishwasher,Private entrance,Oven,Cooking basics,Refrigerator,Dishes and silverware,Crib"
embajadores,106.0,1.0,243,"Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Heating,TV,Washer,Carbon monoxide alarm,Shampoo,Smoke alarm,Body soap,Hair dryer,Bed linens,Host greets you,Coffee maker,Cooking basics,Refrigerator,Dishes and silverware"
cortes,240.0,3.0,12,"City skyline view,Wifi,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Hangers,Toaster,Hot water kettle,Paid folding or convertible high chair - available upon request,TV,Washer,Central heating,Elevator,Paid pack n play/travel crib - available upon request,Long term stays allowed,Bathtub,Hair dryer,Host greets you,Coffee maker,Drying rack for clothing,Dishwasher,Oven,Free dryer  In unit,Dedicated workspace,Wine glasses,Refrigerator,Dishes and silverware"
universidad,76.0,1.0,55,"First aid kit,Wifi,Kitchen,Essentials,Clothing storage: closet, wardrobe, and dresser,Stove,Hot water,Iron,Paid parking off premises,Luggage dropoff allowed,Microwave,Hangers,Portable fans,Dining table,Portable heater,Shower gel,Hot water kettle,TV,Coffee maker: espresso machine,Portable air conditioning,Shampoo,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Host greets you,Freezer,Laundromat nearby,Drying rack for clothing,Conditioner,Cleaning products,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
palomeras bajas,72.0,1.0,1,"Ethernet connection,Housekeeping available from 11:00 AM to 3:00 PM, every day - available at extra cost,Wifi,Kitchen,Essentials,Stove,Smart lock,Hot water,Iron,Microwave,Hangers,Clothing storage,Portable fans,Dining table,Pack n play/Travel crib,Heating,Toaster,Shower gel,Hot water kettle,TV,Washer,Noise decibel monitors on property,Shampoo,Ceiling fan,Long term stays allowed,Body soap,Hair dryer,Bed linens,Freezer,Laundromat nearby,Drying rack for clothing,Dishwasher,Cleaning products,Coffee maker: Nespresso,Oven,Self check-in,Cooking basics,Wine glasses,Refrigerator,Dishes and silverware,Crib"
pacífico,229.0,4.0,141,"Free parking on premises,Dishes and silverware,Hangers,Coffee maker,Heating,Wifi,Hair dryer,Bed linens,Kitchen,TV,Washer,Essentials,Elevator,Hot water,Iron,Refrigerator,Air conditioning,Shampoo"
