barrio,precio,numero_habitaciones,reseñas,servicios
cortes,113.0,1.0,112,"Wifi,Kitchen,Essentials,Smart lock,Hot water,Iron,Microwave,Hangers,Crib - available upon request,Heating,TV,Washer,Fire extinguisher,Elevator,Paid parking garage off premises,Shampoo,Hair dryer,Air conditioning,Coffee maker,Self check-in,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
palacio,87.0,1.0,57,"Envase pequeno para tus dos primeros dias. body soap,City skyline view,Wifi,Window AC unit,Kitchen,Essentials,Hot water,Iron,Paid street parking off premises,Microwave,Dining table,ENVASE PEQUENO PARA TUS DOS PRIMEROS DIAS. shampoo,Free washer  In unit,Heating,Hot water kettle,TV,Elevator,Fire extinguisher,Stainless steel oven,Stainless steel electric stove,Long term stays allowed,Hair dryer,Bed linens,Host greets you,Coffee maker,Clothing storage: dresser,Dishwasher,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
aguilas,44.0,1.0,15,"Bidet,City skyline view,Books and reading material,First aid kit,Wifi,Garden view,Clothing storage: closet,Kitchen,Essentials,Stove,Hot water,Iron,Luggage dropoff allowed,Microwave,Park view,Hangers,Extra pillows and blankets,Private backyard  Fully fenced,Dining table,Heating,Toaster,Shower gel,Hot water kettle,TV,Elevator,Fire extinguisher,Lock on bedroom door,Shampoo,Free parking on premises,Ceiling fan,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Host greets you,Freezer,Coffee maker,Blender,Free street parking,Conditioner,Dishwasher,Cleaning products,Oven,Dedicated workspace,Cooking basics,Room-darkening shades,Pocket wifi,Refrigerator,Dishes and silverware"
embajadores,115.0,2.0,3,"Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Toaster,Hot water kettle,TV,Washer,Fire extinguisher,Hair dryer,Bed linens,Freezer,Coffee maker,Blender,Dryer,Dishwasher,Refrigerator,Air conditioning"
trafalgar,131.0,1.0,20,"Wifi,Central air conditioning,AC - split type ductless system,Kitchen,Essentials,Stove,Hot water,Iron,Paid parking off premises,Microwave,Hangers,Heating,TV,Washer,Shampoo,Body soap,Hair dryer,Bed linens,Pets allowed,Host greets you,Coffee maker,Dishwasher,Oven,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
sol,153.0,1.0,12,"First aid kit,Wifi,AC - split type ductless system,Kitchen,Essentials,Smart lock,Hot water,Iron,Microwave,Paid crib - available upon request,Hangers,Dining table,Clothing storage: wardrobe,Shower gel,Hot water kettle,Private patio or balcony,TV,Fire extinguisher,Paid parking garage off premises,Smoke alarm,Body soap,Hair dryer,Bed linens,Heating - split type ductless system,Coffee maker,Self check-in,Room-darkening shades,Refrigerator,Dishes and silverware"
justicia,257.0,1.0,17,"Ethernet connection,Central air conditioning,Kitchen,Essentials,Hot water,Iron,Microwave,Extra pillows and blankets,Clothing storage,Dining table,Pack n play/Travel crib,Heating,Toaster,Shower gel,Lockbox,TV,Elevator,Fire extinguisher,Fast wifi  500 Mbps,Shampoo,Outdoor furniture,Wine glasses,Long term stays allowed,Hair dryer,Bed linens,Freezer,Coffee maker,Dishwasher,Cleaning products,Oven,Self check-in,Cleaning available during stay,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Crib,Single level home"
simancas,60.0,1.0,98,"Board games,First aid kit,Indoor fireplace: ethanol,Kitchen,Essentials,Fire pit,Hot water,Iron,Paid parking off premises,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Private backyard  Fully fenced,Portable fans,Dining table,Free washer  In unit,Portable heater,Shower gel,Private patio or balcony,Coffee maker: drip coffee maker, Nespresso, pour-over coffee,Courtyard view,40 inch HDTV,Sun loungers,Lock on bedroom door,Shampoo,Ceiling fan,Hammock,Stainless steel oven,Wine glasses,Long term stays allowed,Body soap,Bathtub,Hair dryer,Bed linens,Coffee,Host greets you,Freezer,Outdoor dining area,Fast wifi  276 Mbps,Laundromat nearby,Blender,Free street parking,Drying rack for clothing,Clothing storage: dresser,Private entrance,Cleaning products,Smoking allowed,Cleaning available during stay,Dedicated workspace,Paid parking lot on premises  2 spaces,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Outdoor furniture,Single level home"
universidad,167.0,3.0,242,"Ethernet connection,Books and reading material,First aid kit,Wifi,Clothing storage: closet,Kitchen,Essentials,Stove,Hot water,Iron,Paid parking off premises,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Portable fans,Dining table,50 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Netflix,Heating,Toaster,Shower gel,Hot water kettle,Washer,Fire extinguisher,Shampoo,Ceiling fan,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Host greets you,Coffee maker,Blender,Drying rack for clothing,Dishes and silverware,Cleaning products,Oven,Cleaning available during stay,Dedicated workspace,Cooking basics,Wine glasses,Refrigerator,Air conditioning"
sol,68.0,1.0,214,"First aid kit,Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Hangers,Heating,TV,Washer,Fire extinguisher,Elevator,Shampoo,Hair dryer,Air conditioning,Coffee maker,Private entrance,Cooking basics,Refrigerator,Dishes and silverware"
cármenes,94.0,2.0,67,"First aid kit,Crib - always at the listing,Wifi,Clothing storage: closet,Induction stove,AC - split type ductless system,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Dining table,Free washer  In unit,Toaster,Baking sheet,Shower gel,Hot water kettle,Private patio or balcony,Carbon monoxide alarm,Safe,Central heating,Shampoo,Smoke alarm,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Stainless steel single oven,55 inch TV,Freezer,Outdoor dining area,Heating - split type ductless system,Free street parking,Drying rack for clothing,Private entrance,Pack n play/Travel crib - always at the listing,Coffee maker: Nespresso,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Outdoor furniture"
rios rosas,111.0,1.0,0,"Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Pool,Hangers,Heating,Toaster,Hot water kettle,TV,Washer,Carbon monoxide alarm,Fire extinguisher,Elevator,Hair dryer,Bed linens,Pets allowed,Air conditioning,Coffee maker,Blender,Dishwasher,Cleaning products,Oven,Refrigerator,Dishes and silverware"
universidad,72.0,1.0,194,"Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Paid crib - available upon request,Keypad,Hangers,Clothing storage,Dining table,Heating,Toaster,Shower gel,Hot water kettle,TV,Washer,Elevator,Patio or balcony,Shampoo,Wine glasses,Exterior security cameras on property,Body soap,Hair dryer,Bed linens,Freezer,Coffee maker,Laundromat nearby,Dryer,Dishes and silverware,Cleaning products,Self check-in,Cleaning available during stay,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
justicia,51.0,1.0,10,"Ethernet connection,Wifi,Kitchen,Essentials,Iron,Microwave,Hangers,Portable fans,Heating,Toaster,Hot water kettle,TV,Washer,Elevator,Hair dryer,Bed linens,Air conditioning,Host greets you,Freezer,Coffee maker,Drying rack for clothing,Oven,Refrigerator,Dishes and silverware"
embajadores,130.0,0.0,25,"Kitchen,Essentials,Hot water,Iron,Microwave,Electric stove,Hangers,Extra pillows and blankets,Free washer  In unit,Heating,Toaster,Shower gel,Fast wifi  917 Mbps,TV,Shampoo,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee maker,Drying rack for clothing,Clothing storage: dresser,Dishes and silverware,Private entrance,Cleaning products,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
cármenes,39.0,1.0,30,"32 inch HDTV,Board games,City skyline view,Books and reading material,First aid kit,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Portable fans,Free washer  In unit,Rice maker,Shower gel,Hot water kettle,Outdoor shower,Private patio or balcony,Elevator,Shampoo,Free parking on premises,Stainless steel oven,Wine glasses,Radiant heating,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Fast wifi  61 Mbps,Host greets you,Freezer,Coffee maker,Blender,Free street parking,Drying rack for clothing,Dishwasher,Cleaning products,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
arapiles,258.0,4.0,68,"Wifi,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Stove,Hot water,Iron,65 inch HDTV with premium cable, standard cable,Paid parking off premises,Microwave,Paid crib - available upon request,Hangers,Extra pillows and blankets,Dining table,Free washer  In unit,Heating,Toaster,Shower gel,Hot water kettle,Private patio or balcony,Elevator,Fire extinguisher,Noise decibel monitors on property,Paid pack n play/travel crib - available upon request,Shampoo,Smoke alarm,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Host greets you,Freezer,Coffee maker,Blender,Laundromat nearby,Drying rack for clothing,Dishwasher,Cleaning products,Oven,Free dryer  In unit,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
sol,70.0,1.0,585,"First aid kit,Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Clothing storage,Dining table,Heating,TV,Washer,Fire extinguisher,Shampoo,Paid parking on premises,Smoke alarm,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Host greets you,Coffee maker,Drying rack for clothing,Dishes and silverware,Cleaning products,Cooking basics,Room-darkening shades,Pocket wifi,Refrigerator,Air conditioning"
embajadores,45.0,1.0,93,"Ethernet connection,Books and reading material,First aid kit,Wifi,Central air conditioning,Clothing storage: closet,Kitchen,Essentials,Stove,Hot water,Iron,Paid street parking off premises,Microwave,Hangers,Extra pillows and blankets,Portable fans,Baking sheet,Shower gel,Hot water kettle,Washer,Central heating,Coffee maker: espresso machine,Shampoo,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Host greets you,Freezer,Blender,Free street parking,Drying rack for clothing,Cleaning products,Oven,Arcade games,Dedicated workspace,Cooking basics,Room-darkening shades,Pocket wifi,Refrigerator,Dishes and silverware"
embajadores,84.0,1.0,152,"Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Dining table,Private patio or balcony,Hot water kettle,TV,Washer,Fire extinguisher,Elevator,Coffee maker: espresso machine,Paid parking garage off premises,Smoke alarm,Wine glasses,Long term stays allowed,Hair dryer,Bed linens,Host greets you,Freezer,Outdoor dining area,Heating - split type ductless system,Drying rack for clothing,Dishes and silverware,Dishwasher,Cleaning products,Smoking allowed,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
sol,130.0,1.0,393,"Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Portable fans,Dining table,Heating,Toaster,Shower gel,Hot water kettle,Private patio or balcony,Carbon monoxide alarm,Washer,Pack n play/Travel crib - available upon request,Fire extinguisher,Elevator,Shampoo,Ceiling fan,Paid parking on premises,HDTV with Netflix,Smoke alarm,Wine glasses,Shared outdoor pool - available seasonally, open specific hours,Long term stays allowed,Body soap,Bathtub,Hair dryer,Bed linens,Coffee,Host greets you,Freezer,Coffee maker,Drying rack for clothing,Clothing storage: closet and dresser,Cleaning products,Oven,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Crib"
trafalgar,77.0,1.0,155,"Wifi,Kitchen,Essentials,Hot water,Paid parking off premises,Microwave,Hangers,Heating,TV,Washer,Backyard,Shampoo,Bathtub,Hair dryer,Coffee maker,Dishwasher,Oven,Cooking basics,Refrigerator,Dishes and silverware,Single level home"
sol,83.0,1.0,173,"Ethernet connection,Wifi,Window AC unit,Kitchen,Essentials,Stove,Hot water,Microwave,50 inch HDTV with standard cable,Hangers,Extra pillows and blankets,Dining table,Heating,Shower gel,Hot water kettle,Private patio or balcony,Elevator,Washer,Fire extinguisher,Shampoo,Smoke alarm,Wine glasses,Hair dryer,Bed linens,Coffee,Host greets you,Freezer,Laundromat nearby,Dryer,Drying rack for clothing,Dishwasher,Private entrance,Cleaning products,Oven,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
sol,160.0,2.0,118,"Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Heating,TV,Washer,Elevator,Shampoo,Long term stays allowed,Hair dryer,Bed linens,Air conditioning,Coffee maker,Cooking basics,Refrigerator,Dishes and silverware"
san isidro,154.0,3.0,6,"Books and reading material,First aid kit,Wifi,Clothing storage: closet,Induction stove,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Dining table,Heating,Toaster,Lockbox,Outdoor shower,TV,Fire extinguisher,Ceiling fan,Body soap,Bed linens,Coffee,Freezer,Coffee maker,Laundromat nearby,Cleaning products,Oven,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
cortes,156.0,1.0,88,"First aid kit,Wifi,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Hangers,Dining table,Game console,Heating,Clothing storage: wardrobe,Shower gel,Private patio or balcony,Outdoor shower,Elevator,Washer,Fire extinguisher,42 inch HDTV,Paid parking garage off premises,Shampoo,BBQ grill,Long term stays allowed,Hair dryer,Bed linens,Coffee maker: espresso machine, french press,Pets allowed,Indoor fireplace,Freezer,Outdoor dining area,Host greets you,Dishes and silverware,Conditioner,Window guards,Dishwasher,Cleaning products,Cleaning available during stay,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning,Outdoor furniture,Single level home"
universidad,105.0,1.0,32,"Wifi,Central air conditioning,Clothing storage: closet,Kitchen,Essentials,Stove,Smart lock,Hot water,Iron,Microwave,Paid crib - available upon request,Hangers,Extra pillows and blankets,Dining table,Free washer  In unit,Toaster,Shower gel,Hot water kettle,Paid parking lot off premises,TV,Elevator,Central heating,Fire extinguisher,Patio or balcony,Paid pack n play/travel crib - available upon request,Shampoo,Smoke alarm,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Freezer,Coffee maker,Drying rack for clothing,Cleaning products,Oven,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
bellas vistas,126.0,2.0,87,"Wifi,AC - split type ductless system,Kitchen,Essentials,Smart lock,Iron,Microwave,Dining table,Free washer  In unit,Heating,Carbon monoxide alarm,Fire extinguisher,Shampoo,Smoke alarm,Hair dryer,Pets allowed,Freezer,Coffee maker,50 inch HDTV,Private entrance,Corbero stainless steel double oven,Self check-in,Cooking basics,Refrigerator,Dishes and silverware"
palos de moguer,56.0,1.0,44,"Wifi,Kitchen,Essentials,Shared patio or balcony,Hot water,Iron,Luggage dropoff allowed,Paid street parking off premises,Hangers,Extra pillows and blankets,Dining table,Elevator,Washer,Lock on bedroom door,Long term stays allowed,Hair dryer,Bed linens,Stainless steel single oven,Host greets you,Freezer,Heating - split type ductless system,Drying rack for clothing,Dishes and silverware,Clothing storage: closet and dresser,Cleaning products,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning,Single level home"
rios rosas,112.0,1.0,54,"Books and reading material,Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Hangers,Clothing storage,Dining table,Heating,Shower gel,Hot water kettle,TV,Washer,Elevator,Shampoo,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Host greets you,Freezer,Blender,Drying rack for clothing,Dishes and silverware,Dishwasher,Cleaning products,Coffee maker: Nespresso,Oven,Dedicated workspace,Room-darkening shades,Refrigerator,Air conditioning"
media legua,35.0,1.0,1,"Wifi,Kitchen,TV,Washer,Lock on bedroom door,Air conditioning"
aluche,36.0,1.0,60,"Bidet,Ethernet connection,Books and reading material,First aid kit,Wifi,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Paid street parking off premises,Microwave,Hangers,Extra pillows and blankets,Paid washer,Portable fans,Coffee maker: pour-over coffee,Dining table,Toaster,Portable heater,Shower gel,Hot water kettle,Elevator,Champu y gel de ducha shampoo,HDTV,Stainless steel oven,Wine glasses,Long term stays allowed,Body soap,Bathtub,Bed linens,Coffee,Freezer,Laundromat nearby,Blender,Free street parking,Stainless steel stove,Drying rack for clothing,Clothing storage: closet and dresser,Cleaning products,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Single level home"
sol,147.0,2.0,20,"Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Dining table,Heating,Toaster,Shower gel,Hot water kettle,TV,Washer,Elevator,Shampoo,Ceiling fan,Body soap,Hair dryer,Bed linens,Coffee maker,Drying rack for clothing,Dishes and silverware,Wine glasses,Refrigerator,Air conditioning"
palacio,135.0,2.0,200,"City skyline view,Wifi,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Dining table,Free washer  In unit,Heating,Toaster,Shower gel,Hot water kettle,Paid parking lot off premises,TV,Elevator,Coffee maker: espresso machine,Shampoo,Wine glasses,Stainless steel electric stove,Long term stays allowed,Body soap,Hair dryer,Bed linens,Host greets you,Freezer,Drying rack for clothing,Dishwasher,Cleaning products,Oven,Free dryer  In unit,Dedicated workspace,Room-darkening shades,Refrigerator,Dishes and silverware,Single level home"
justicia,109.0,1.0,21,"Wifi,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Microwave,Toaster,Shower gel,Hot water kettle,TV,Shampoo,Wine glasses,Hair dryer,Bed linens,Air conditioning,Heating - split type ductless system,Laundromat nearby,Coffee maker: Nespresso,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
jerónimos,79.0,2.0,18,"Heating,Wifi,Bed linens,Self check-in,Essentials,Smart lock,Air conditioning,Shampoo"
simancas,109.0,3.0,174,"Wifi,Clothing storage: closet,Kitchen,Essentials,Stove,Smart lock,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Portable fans,Dining table,Heating,Toaster,TV,Washer,Elevator,Patio or balcony,Wine glasses,Long term stays allowed,Hair dryer,Bed linens,Freezer,Coffee maker,Free street parking,Drying rack for clothing,Dishes and silverware,Oven,Self check-in,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
concepción,115.0,2.0,234,"Breakfast,Clothing storage: closet,Induction stove,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Dining table,Free washer  In unit,Toaster,Hot water kettle,Lockbox,Carbon monoxide alarm,Elevator,Central heating,Fast wifi  500 Mbps,Patio or balcony,Shampoo,Smoke alarm,Wine glasses,Body soap,Hair dryer,Bed linens,Coffee,Freezer,50 inch HDTV,Drying rack for clothing,Dishes and silverware,Dishwasher,Cleaning products,Oven,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
justicia,161.0,2.0,0,"First aid kit,Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Hangers,Heating,Toaster,Hot water kettle,TV,Washer,Elevator,Record player,Smoke alarm,Long term stays allowed,Hair dryer,Bed linens,Pets allowed,Freezer,Coffee maker,Blender,Drying rack for clothing,Dishes and silverware,Dishwasher,Cleaning products,Oven,Dedicated workspace,Cooking basics,Refrigerator,Air conditioning"
acacias,130.0,2.0,41,"Wifi,Clothing storage: closet,Kitchen,Hot water,Iron,Microwave,Hangers,Heating,Toaster,Shower gel,Hot water kettle,TV,Washer,Fire extinguisher,Shampoo,Other induction stove,Hair dryer,Bed linens,Air conditioning,Freezer,Coffee maker,Dishwasher,Private entrance,Cooking basics,Wine glasses,Refrigerator,Dishes and silverware"
universidad,100.0,0.0,9,"First aid kit,Wifi,Kitchenette,Essentials,Hot water,Iron,Microwave,Toaster,Shower gel,Hot water kettle,TV,Washer,Shampoo,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Freezer,Heating - split type ductless system,Coffee maker,Drying rack for clothing,Dishes and silverware,Dishwasher,Cleaning products,Room-darkening shades,Refrigerator,Air conditioning"
palacio,105.0,1.0,57,"Ethernet connection,First aid kit,Wifi,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Smart lock,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Dining table,Free washer  In unit,Toaster,Hot water kettle,Carbon monoxide alarm,40 inch HDTV,Fire extinguisher,Shampoo,Smoke alarm,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Freezer,Heating - split type ductless system,Drying rack for clothing,Cleaning products,Coffee maker: Nespresso,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
ventas,40.0,1.0,9,"Bidet,First aid kit,Wifi,Kitchen,Hot water,Iron,Pool,Microwave,Hangers,Extra pillows and blankets,Clothing storage,Pool view,Dining table,Heating,Shower gel,TV,Washer,Carbon monoxide alarm,Fire extinguisher,Backyard,Patio or balcony,Sun loungers,Elevator,Lock on bedroom door,Shampoo,Smoke alarm,Bathtub,Hair dryer,Bed linens,Coffee,Host greets you,Coffee maker,Dishwasher,Private entrance,Cleaning products,Oven,Cooking basics,Refrigerator,Air conditioning"
casco histórico de vallecas,84.0,2.0,11,"Wifi,Kitchen,Hot water,Iron,Microwave,Hangers,Clothing storage,Dining table,Heating,Toaster,Shower gel,Hot water kettle,TV,Washer,Shampoo,Long term stays allowed,Hair dryer,Bed linens,Air conditioning,Freezer,Coffee maker,Oven,Cooking basics,Refrigerator,Dishes and silverware"
trafalgar,161.0,1.0,0,"Exercise equipment,First aid kit,Wifi,Kitchen,Microwave,Clothing storage,TV,Washer,Safe,Carbon monoxide alarm,Fire extinguisher,Shampoo,Smoke alarm,Coffee maker,Dishwasher,Oven,Dedicated workspace,Room-darkening shades,Air conditioning"
cortes,88.0,1.0,109,"Paid clamp on table seat high chair - available upon request,Bidet,Wifi,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Private backyard  Fully fenced,43 inch HDTV with standard cable,Dining table,Free washer  In unit,Heating,Toaster,Shower gel,Hot water kettle,Private patio or balcony,Elevator,Paid parking garage off premises,Paid pack n play/travel crib - available upon request,Shampoo,Stainless steel oven,Wine glasses,Long term stays allowed,Body soap,Bathtub,Hair dryer,Bed linens,Coffee,Coffee maker,Blender,Drying rack for clothing,Cleaning products,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
atocha,96.0,2.0,488,"Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Paid parking off premises,Microwave,Hangers,Heating,Shower gel,Private patio or balcony,TV,Washer,Carbon monoxide alarm,Fire extinguisher,Elevator,Shampoo,Paid parking on premises,Smoke alarm,Long term stays allowed,Hair dryer,Bed linens,Host greets you,Coffee maker,Dishes and silverware,Window guards,Babysitter recommendations,Dedicated workspace,Cooking basics,Baby safety gates,Room-darkening shades,Refrigerator,Air conditioning,Crib"
palomeras sureste,112.0,3.0,263,"Outlet covers,First aid kit,Wifi,Kitchen,Essentials,Hot water,Iron,Paid parking off premises,Microwave,Hangers,Extra pillows and blankets,Heating,Shower gel,Private patio or balcony,TV,Washer,Carbon monoxide alarm,Elevator,Shampoo,Free parking on premises,Smoke alarm,Long term stays allowed,Hair dryer,Bed linens,Pets allowed,Coffee maker,Free street parking,Drying rack for clothing,Dishes and silverware,Dishwasher,Cleaning products,Smoking allowed,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
valdefuentes,166.0,1.0,66,"Board games,Ethernet connection,Books and reading material,First aid kit,Wifi,Childrens books and toys,Shared backyard  Fully fenced,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Otro electric stove,Hot water,Iron,Luggage dropoff allowed,Free parking garage on premises  50 spaces,Microwave,Lake access,Hangers,Extra pillows and blankets,Coffee maker: pour-over coffee,Crib - available upon request,Free washer  In unit,Heating,Toaster,Dining table,Shower gel,Lockbox,Outdoor shower,Carbon monoxide alarm,Elevator,Fire extinguisher,Shampoo,Smoke alarm,Wine glasses,Shared outdoor pool - available seasonally, open specific hours,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Pets allowed,Freezer,Laundromat nearby,Free street parking,HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Fire TV, HBO Max, Hulu, Netflix, premium cable, Roku, standard cable,Drying rack for clothing,Window guards,Dishwasher,Cleaning products,Self check-in,Babysitter recommendations,Cleaning available during stay,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
trafalgar,152.0,1.0,25,"Wifi,Kitchen,Essentials,Smart lock,Hot water,Microwave,Heating,Toaster,Shower gel,Hot water kettle,TV,Washer,Shampoo,Smoke alarm,Body soap,Hair dryer,Bed linens,Pets allowed,Air conditioning,Coffee maker,Dishwasher,Self check-in,Dedicated workspace,Refrigerator,Dishes and silverware,Crib"
justicia,100.0,1.0,120,"Breakfast,Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Paid parking off premises,Microwave,Hangers,Extra pillows and blankets,Heating,Shower gel,TV,Washer,Elevator,Long term stays allowed,Hair dryer,Bed linens,Air conditioning,Host greets you,Coffee maker,Dryer,Private entrance,Cooking basics,Refrigerator,Dishes and silverware"
universidad,180.0,1.0,398,"City skyline view,Wifi,ESTANDAR stainless steel oven,Clothing storage: closet,AC - split type ductless system,45 inch TV with standard cable,Essentials,Kitchen,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Crib - available upon request,Free washer  In unit,Dining table,Toaster,Shower gel,Hot water kettle,Paid parking lot off premises,Elevator,Fire extinguisher,ESTANDAR refrigerator,Folding or convertible high chair - available upon request,Smoke alarm,Long term stays allowed,Hair dryer,Bed linens,Host greets you,Freezer,Heating - split type ductless system,Drying rack for clothing,ESTANDAR stainless steel electric stove,Private entrance,Cleaning products,Estandar body soap,Cooking basics,Coffee maker: drip coffee maker,Room-darkening shades,Dishes and silverware"
ventas,65.0,1.0,34,"Building staff,Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Paid parking off premises,Microwave,Hangers,HDTV with standard cable,Heating,Carbon monoxide alarm,Washer,Fire extinguisher,Shampoo,Smoke alarm,Long term stays allowed,Hair dryer,Bed linens,Coffee maker,Free street parking,Dishwasher,Private entrance,Oven,Self check-in,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
chopera,71.0,1.0,67,"Wifi,Clothing storage: closet,Essentials,Mini fridge,Hot water,Luggage dropoff allowed,Keypad,Hangers,Portable heater,Shower gel,TV,Safe,Fire extinguisher,Shampoo,Body soap,Hair dryer,Bed linens,Laundromat nearby,Private entrance,Self check-in,Room-darkening shades,Air conditioning"
goya,740.0,2.0,6,"Building staff,First aid kit,Wifi,Kitchen,Essentials,Stove,Iron,Pool,Hangers,Heating,TV,Washer,Carbon monoxide alarm,Fire extinguisher,Patio or balcony,Shampoo,Smoke alarm,Hair dryer,Dryer,Dishwasher,Gym,Oven,Self check-in,Cooking basics,Air conditioning,Crib"
cármenes,31.0,1.0,33,"First aid kit,Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Heating,TV,Washer,Fire extinguisher,Elevator,Lock on bedroom door,Shampoo,Free parking on premises,Hair dryer,Bed linens,Coffee maker,Dishes and silverware,Oven,Cooking basics,Pocket wifi,Refrigerator,Air conditioning"
universidad,84.0,1.0,87,"Wifi,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Microwave,Electric stove,Hangers,Toaster,Portable heater,Shower gel,Hot water kettle,TV,Washer,Elevator,Coffee maker: espresso machine,Shampoo,Wine glasses,Long term stays allowed,Body soap,Bathtub,Hair dryer,Bed linens,Heating - split type ductless system,Drying rack for clothing,Dishes and silverware,Dishwasher,Cleaning products,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
